date,team1,team2,result1,result2,score1,score2
2014-06-14T14:00:00.000Z,Ninjas in Pyjamas,Berzerk,1,0,16,12
2014-06-14T14:00:00.000Z,Epsilon,Publiclir.se,1,0,15,3
2014-06-14T16:00:00.000Z,Epsilon,Ninjas in Pyjamas,0,1,5,16
2014-06-14T16:00:00.000Z,Publiclir.se,Berzerk,0,1,4,16
2014-06-14T16:45:00.000Z,Epsilon,Berzerk,1,0,16,11
2014-06-14T19:30:00.000Z,fnatic,SK Gaming,0,1,9,16
2014-06-14T19:30:00.000Z,Virtus Pro-CS,London Conspiracy.CS,1,0,16,4
2014-06-14T20:30:00.000Z,Virtus Pro-CS,SK Gaming,1,0,16,12
2014-06-14T20:30:00.000Z,London Conspiracy.CS,fnatic,0,1,4,16
2014-06-14T21:30:00.000Z,fnatic,SK Gaming,0,1,10,16
2014-06-15T10:00:00.000Z,SK Gaming,hiGhrollers,2,0,0,0
2014-06-15T10:00:00.000Z,Publiclir.se,Vengeance & Evil,2,0,0,0
2014-06-15T10:00:00.000Z,Ninjas in Pyjamas,Pangafett.se,2,0,0,0
2014-06-15T10:00:00.000Z,fnatic,Flipsid3 Tactics,2,0,0,0
2014-06-15T12:30:00.000Z,fnatic,Publiclir.se,2,0,0,0
2014-06-15T12:30:00.000Z,SK Gaming,Ninjas in Pyjamas,1,2,23,24
2014-06-15T14:00:00.000Z,Titan.CS,o4o,1,0,16,2
2014-06-15T14:00:00.000Z,HellRaisers,Reason Gaming CS,1,0,16,5
2014-06-15T15:00:00.000Z,Titan.CS,HellRaisers,0,1,6,16
2014-06-15T15:00:00.000Z,o4o,Reason Gaming CS,0,1,1,16
2014-06-15T16:00:00.000Z,Titan.CS,Reason Gaming CS,1,0,16,9
2014-06-15T19:00:00.000Z,Expert Gaming,Lemondogs CS,0,1,17,19
2014-06-15T19:00:00.000Z,Natus Vincere,Flipsid3 Tactics,0,1,13,16
2014-06-15T20:00:00.000Z,Natus Vincere,Expert Gaming,1,0,16,11
2014-06-15T20:00:00.000Z,Flipsid3 Tactics,Lemondogs CS,0,1,1,16
2014-06-15T21:00:00.000Z,Flipsid3 Tactics,Natus Vincere,0,1,5,16
2014-06-15T23:00:00.000Z,Ninjas in Pyjamas,Titan.CS,2,1,41,37
2014-06-15T23:00:00.000Z,HellRaisers,SK Gaming,2,0,32,19
2014-06-16T00:00:00.000Z,fnatic,Ninjas in Pyjamas,2,0,32,21
