team,elo
Team LDLC,2109
fnatic,2020
iBUYPOWER,1822
Natus Vincere,1800
Titan.CS,1797
Team EnVyUs,1775
France.CS,1765
Virtus.Pro,1761
Ninjas in Pyjamas,1761
Team Dignitas,1744
Team Solomid.CS,1739
dAT team,1733
Team Property.CS,1724
United Estonia,1696
mouseSpaz,1690
HellRaisers,1677
mousesports.CS,1669
GX,1668
Denmark.CS,1668
Flipsid3 Tactics,1664
Sweden.CS,1661
Pay Attention,1657
Reason Gaming CS,1652
Mythic: B,1647
Torqued,1643
xile,1641
Bad Monkey Gaming Female,1639
LGB eSports,1638
se mi puta,1629
PENTA Sports,1629
3DMAX Female,1627
gBots,1626
CPH Wolves,1619
SK Gaming,1619
Poland.CS,1616
3DMAX.CS,1613
GGWP,1610
Netherlands.CS,1610
Team KaBuM,1608
Exertus,1600
x6tence,1596
iNation,1592
Cloud9,1591
myXMG Female,1586
Mercenary,1586
Netcode,1586
Team Liquid.CS,1585
VOX EMINOR,1585
Asus CyberZone,1583
Team Orbit,1583
GEDUKT,1578
myXMG,1578
Mobility Gaming,1575
BLUEJAYS,1573
420BlazeIT,1572
Russia.CS,1570
HyperShots,1570
ENCORE,1569
lanlaget,1565
Piter,1565
myRevenge,1564
eLevate,1560
compLexity Gaming,1559
aimface,1556
k1ck eSports Club,1556
Clutchit.org,1555
Deponeret,1553
Mayhem,1550
fm!TOXiC,1549
mTw 2008,1549
ENSO.CS,1547
Team Winner,1546
The Flying V,1543
Jesuss Christ,1542
Gplay,1542
Finland.CS,1541
Imaginary Gaming Female,1540
London Conspiracy Female,1537
Publiclir.se,1537
WOOSAH,1536
Gamers2,1534
Denial eSports: B,1534
ESG!,1534
Avant Garde.CS,1531
ISKOLD,1531
Check6,1531
OveR Gaming,1527
Enigma Gaming,1526
Ziomki,1525
Nothing Personal,1523
Violetdreams,1522
Aware Gaming,1522
Team Infused.CS,1521
All-Stars Europe,1521
EYESports,1520
Outbreak,1520
Girls Generation,1519
1sh0t,1519
Justus Pro,1519
Team Immunity.CS,1518
Counter Logic Gaming.CS,1518
Slovakia.CS,1515
Mousecontrol Female,1514
Adapt,1514
Lemondogs CS,1514
Comeback,1510
Black Ravens Ltd,1510
ACES,1510
orKs eSports,1507
Planetkey Dynamics,1507
Recursive eSports,1505
SapphireKelownaDotCom,1503
AMNESIA,1502
Vination eSports,1501
neXtPlease!,1499
Moscow 5,1499
Ukraine.CS,1499
4andahalfmen,1499
UnWanted,1498
Team Menace.fi,1498
ArenaLeague,1497
Denial eSports,1497
SAIDERc,1494
No Problem!,1494
dotpiXels e.V.,1494
ESC Gaming,1493
Team ALTERNATE Female,1492
Norway.CS,1492
über n00bz,1491
AliGon,1491
eXeS eSport,1490
noMERCY,1490
DEMGUNZ,1489
Team RVN,1488
The Stream Team,1488
Rasta.B2G,1488
Armata.CS,1487
